State,Postcode,Associated residential areas,Reporting Year,Age group,Percent fully immunised (%),Interpret with caution  (#)
NSW,2136,"Strathfield South, Enfield, Burwood Heights",2016-17,1 year,85.0-89.9,#
NSW,2137,"Concord, North Strathfield, Breakfast Point, Cabarita, Mortlake",2016-17,1 year,95.0-100.0, 
NSW,2138,"Concord West, Rhodes, Liberty Grove",2016-17,1 year,92.5-94.9, 
NSW,2140,"Homebush, Homebush West, Homebush South",2016-17,1 year,85.0-89.9, 
NSW,2141,"Lidcombe, Berala, Lidcombe North, Rookwood",2016-17,1 year,92.5-94.9, 
NSW,2142,"Granville, South Granville, Rosehill, Holroyd, Clyde and 2 others",2016-17,1 year,85.0-89.9, 
NSW,2143,"Regents Park, Birrong, Potts Hill",2016-17,1 year,90.0-92.4, 
NSW,2144,Auburn,2016-17,1 year,85.0-89.9, 
NSW,2145,"Greystanes, Westmead, Wentworthville, Pendle Hill, South Wentworthville and 4 others",2016-17,1 year,90.0-92.4, 
NSW,2146,"Toongabbie, Old Toongabbie, Toongabbie East",2016-17,1 year,92.5-94.9, 
NSW,2147,"Seven Hills, Kings Langley, Lalor Park, Seven Hills West",2016-17,1 year,92.5-94.9, 
NSW,2148,"Blacktown, Marayong, Prospect, Kings Park, Arndell Park and 1 other",2016-17,1 year,92.5-94.9, 
NSW,2150,"Parramatta, Harris Park",2016-17,1 year,85.0-89.9, 
NSW,2151,"North Parramatta, North Rocks",2016-17,1 year,92.5-94.9, 
NSW,2152,Northmead,2016-17,1 year,95.0-100.0, 
NSW,2153,"Baulkham Hills, Winston Hills, Bella Vista",2016-17,1 year,92.5-94.9, 
NSW,2154,Castle Hill,2016-17,1 year,90.0-92.4, 
NSW,2155,"Kellyville, Kellyville Ridge, Beaumont Hills, Rouse Hill",2016-17,1 year,95.0-100.0, 
NSW,2156,"Glenhaven, Kenthurst, Annangrove",2016-17,1 year,95.0-100.0, 
NSW,2157,"Glenorie, Canoelands, Forest Glen",2016-17,1 year,92.5-94.9, 
NSW,2158,"Dural, Middle Dural, Round Corner",2016-17,1 year,95.0-100.0, 
NSW,2159,"Galston, Arcadia, Berrilee, Fiddletown",2016-17,1 year,92.5-94.9,#
NSW,2160,"Merrylands, Merrylands West",2016-17,1 year,90.0-92.4, 
