rlgs_affi_islam_%, sa3_code16, rlgs_affi_other_religions_%, rlgs_affi_inadq_desc_not_stated_%, rlgs_affi_christianity_%, prop_tot_pop_spk_lang_other_eng_home_%, rlgs_affi_buddhism_%, rlgs_affi_hinduism_%, year, sa3_name16, rlgs_affi_judaism_%, rlgs_affi_sec_other_spiritual_no_religoin_%
0.1,"10801",0.2,9.5,64.3,2.6,0.7,0.1,2016,"Great Lakes",null,25.0
0.1,"10802",0.4,12.1,58.9,2.3,0.8,0.1,2016,"Kempsey  Nambucca",null,27.4
null,"10803",null,13.4,48.2,5.8,0.8,null,2016,"Lord Howe Island",null,35.9
0.1,"10804",0.3,8.8,63.7,3.1,0.7,0.3,2016,"Port Macquarie",0.1,26.1
0.1,"10805",0.3,9.2,64.4,2.5,0.8,0.2,2016,"Taree  Gloucester",null,24.9
0.4,"10901",0.7,9.1,60.6,6.0,0.9,1.4,2016,"Albury",null,26.9
0.2,"10902",0.6,13.3,58.3,4.0,0.4,0.2,2016,"Lower Murray",null,26.9
0.1,"10903",0.4,10.7,62.8,2.6,0.4,0.2,2016,"Upper Murray exc. Albury",null,25.4
1.3,"11001",0.6,10.5,59.2,6.6,0.9,0.8,2016,"Armidale",null,26.7
0.1,"11002",0.4,11.9,67.0,2.4,0.4,0.1,2016,"Inverell  Tenterfield",null,20.0
0.2,"11003",0.2,13.1,69.0,2.7,0.4,0.4,2016,"Moree  Narrabri",null,16.9
0.2,"11004",0.3,9.7,69.3,3.3,0.5,0.3,2016,"Tamworth  Gunnedah",null,19.6
0.2,"11101",0.3,7.0,61.1,4.5,0.8,0.3,2016,"Lake Macquarie  East",null,30.3
0.3,"11102",0.3,7.6,62.5,4.1,0.8,0.3,2016,"Lake Macquarie  West",null,28.1
1.2,"11103",0.4,8.1,55.2,9.7,1.2,0.7,2016,"Newcastle",0.1,33.2
0.1,"11201",0.7,12.8,46.5,4.8,1.7,0.2,2016,"Richmond Valley  Coastal",0.4,37.5
0.2,"11202",0.9,11.1,56.4,3.6,1.1,0.2,2016,"Richmond Valley  Hinterland",0.1,30.1
0.1,"11203",0.6,10.1,57.0,4.2,1.1,0.7,2016,"Tweed Valley",0.1,30.2
1.2,"11301",2.0,11.0,68.3,13.6,0.4,1.2,2016,"Griffith  Murrumbidgee (West)",null,15.8
0.1,"11302",0.4,12.1,67.8,3.5,0.5,0.2,2016,"Tumut  Tumbarumba",null,19.0
0.6,"11303",0.3,9.2,68.6,5.1,0.5,0.5,2016,"Wagga Wagga",null,20.3
0.2,"11401",0.4,10.1,58.6,4.0,0.9,0.2,2016,"Shoalhaven",0.1,29.5
0.2,"11402",0.4,9.1,62.0,5.7,0.9,0.6,2016,"Southern Highlands",0.2,26.6
2.5,"11501",1.6,6.1,58.2,35.7,3.6,5.4,2016,"Baulkham Hills",0.1,22.6
0.7,"11502",0.6,7.3,67.3,15.0,1.3,0.7,2016,"Dural  Wisemans Ferry",0.1,22.0
0.1,"11503",0.4,9.5,63.8,4.5,0.6,0.1,2016,"Hawkesbury",0.1,25.4
2.7,"11504",1.1,6.0,67.8,21.4,1.5,2.8,2016,"Rouse Hill  McGraths Hill",0.1,18.0
5.4,"11601",4.4,7.2,55.0,43.7,1.9,10.7,2016,"Blacktown",null,15.4
4.9,"11602",5.6,7.5,53.8,38.6,2.3,10.2,2016,"Blacktown  North",0.1,15.5
9.7,"11603",1.6,8.2,59.6,40.4,1.1,5.0,2016,"Mount Druitt",null,14.8
6.5,"11701",0.4,9.3,53.8,44.5,3.9,2.1,2016,"Botany",1.6,22.4
1.4,"11703",0.5,15.7,28.5,35.7,6.9,1.4,2016,"Sydney Inner City",0.9,44.8
2.1,"11702",0.5,11.1,37.1,30.1,4.6,1.3,2016,"Marrickville  Sydenham  Petersham",0.4,43.0
0.4,"11801",0.3,13.8,37.3,18.4,1.3,0.4,2016,"Eastern Suburbs  North",13.7,32.9
1.6,"11802",0.4,11.7,47.0,32.1,2.7,1.0,2016,"Eastern Suburbs  South",3.6,32.0
21.7,"11901",0.7,8.5,48.7,56.0,6.2,1.2,2016,"Bankstown",null,13.1
21.6,"11902",0.6,8.4,45.2,66.8,5.3,3.0,2016,"Canterbury",0.1,15.7
4.1,"11903",0.4,7.5,50.2,53.2,5.1,3.9,2016,"Hurstville",0.1,28.8
8.7,"11904",0.5,9.2,51.2,56.7,4.1,5.4,2016,"Kogarah  Rockdale",0.2,20.7
1.6,"12001",0.5,8.6,55.9,39.7,3.0,2.5,2016,"Canada Bay",0.2,27.7
0.6,"12002",0.4,11.4,41.9,15.3,1.8,0.6,2016,"Leichhardt",0.6,42.8
2.2,"12003",0.7,9.1,42.9,53.2,5.4,8.8,2016,"Strathfield  Burwood  Ashfield",0.2,30.8
1.2,"12101",0.6,8.7,46.0,35.8,3.8,2.9,2016,"Chatswood  Lane Cove",1.0,35.7
1.6,"12102",0.8,7.5,51.0,31.1,2.7,4.4,2016,"Hornsby",0.3,31.7
