"MEASURE","Data item","REGIONTYPE","Geography Level","ASGS_2016","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"SCHOOL_3","With Postgraduate Degree (%)","SA3","Statistical Area Level 3","11504","Rouse Hill - McGraths Hill","A","Annual","2011","2011",3.6,,
"SCHOOL_3","With Postgraduate Degree (%)","SA3","Statistical Area Level 3","11504","Rouse Hill - McGraths Hill","A","Annual","2016","2016",5.3,,
"SCHOOL_4","With Graduate Diploma/Graduate Certificate (%)","SA3","Statistical Area Level 3","11504","Rouse Hill - McGraths Hill","A","Annual","2011","2011",1.3,,
"SCHOOL_4","With Graduate Diploma/Graduate Certificate (%)","SA3","Statistical Area Level 3","11504","Rouse Hill - McGraths Hill","A","Annual","2016","2016",1.6,,
"SCHOOL_5","With Bachelor Degree (%)","SA3","Statistical Area Level 3","11504","Rouse Hill - McGraths Hill","A","Annual","2011","2011",14.6,,
"SCHOOL_5","With Bachelor Degree (%)","SA3","Statistical Area Level 3","11504","Rouse Hill - McGraths Hill","A","Annual","2016","2016",17.1,,
"SCHOOL_6","With Advanced Diploma/Diploma (%)","SA3","Statistical Area Level 3","11504","Rouse Hill - McGraths Hill","A","Annual","2011","2011",9.9,,
"SCHOOL_6","With Advanced Diploma/Diploma (%)","SA3","Statistical Area Level 3","11504","Rouse Hill - McGraths Hill","A","Annual","2016","2016",10.8,,
"SCHOOL_7","With Certificate (%)","SA3","Statistical Area Level 3","11504","Rouse Hill - McGraths Hill","A","Annual","2011","2011",21.7,,
"SCHOOL_7","With Certificate (%)","SA3","Statistical Area Level 3","11504","Rouse Hill - McGraths Hill","A","Annual","2016","2016",21.1,,
"SCHOOL_8","Post School Qualifications - Inadequately described, not stated (%)","SA3","Statistical Area Level 3","11504","Rouse Hill - McGraths Hill","A","Annual","2011","2011",9.1,,
"SCHOOL_8","Post School Qualifications - Inadequately described, not stated (%)","SA3","Statistical Area Level 3","11504","Rouse Hill - McGraths Hill","A","Annual","2016","2016",6.6,,
"SCHOOL_2","With Post School Qualifications (%)","SA3","Statistical Area Level 3","11601","Blacktown","A","Annual","2011","2011",53.5,,
"SCHOOL_2","With Post School Qualifications (%)","SA3","Statistical Area Level 3","11601","Blacktown","A","Annual","2016","2016",57,,
"SCHOOL_3","With Postgraduate Degree (%)","SA3","Statistical Area Level 3","11601","Blacktown","A","Annual","2011","2011",3.8,,
"SCHOOL_3","With Postgraduate Degree (%)","SA3","Statistical Area Level 3","11601","Blacktown","A","Annual","2016","2016",5.7,,
"SCHOOL_4","With Graduate Diploma/Graduate Certificate (%)","SA3","Statistical Area Level 3","11601","Blacktown","A","Annual","2011","2011",1,,
"SCHOOL_4","With Graduate Diploma/Graduate Certificate (%)","SA3","Statistical Area Level 3","11601","Blacktown","A","Annual","2016","2016",1.2,,
"SCHOOL_5","With Bachelor Degree (%)","SA3","Statistical Area Level 3","11601","Blacktown","A","Annual","2011","2011",12.9,,
"SCHOOL_5","With Bachelor Degree (%)","SA3","Statistical Area Level 3","11601","Blacktown","A","Annual","2016","2016",15.5,,
"SCHOOL_6","With Advanced Diploma/Diploma (%)","SA3","Statistical Area Level 3","11601","Blacktown","A","Annual","2011","2011",8.1,,
"SCHOOL_6","With Advanced Diploma/Diploma (%)","SA3","Statistical Area Level 3","11601","Blacktown","A","Annual","2016","2016",9.1,,
"SCHOOL_7","With Certificate (%)","SA3","Statistical Area Level 3","11601","Blacktown","A","Annual","2011","2011",17.3,,
"SCHOOL_7","With Certificate (%)","SA3","Statistical Area Level 3","11601","Blacktown","A","Annual","2016","2016",16.9,,
"SCHOOL_8","Post School Qualifications - Inadequately described, not stated (%)","SA3","Statistical Area Level 3","11601","Blacktown","A","Annual","2011","2011",10.5,,
"SCHOOL_8","Post School Qualifications - Inadequately described, not stated (%)","SA3","Statistical Area Level 3","11601","Blacktown","A","Annual","2016","2016",8.7,,
"SCHOOL_2","With Post School Qualifications (%)","SA3","Statistical Area Level 3","11602","Blacktown - North","A","Annual","2011","2011",60.3,,
"SCHOOL_2","With Post School Qualifications (%)","SA3","Statistical Area Level 3","11602","Blacktown - North","A","Annual","2016","2016",64.4,,
